TreeDepth,Variable,Value
0,Kernel Base,0xf8016669a000
0,DTB,0x1aa000
0,Symbols,file:///usr/local/lib/python3.14/site-packages/volatility3/symbols/windows/ntkrnlmp.pdb/8B11040A5928757B11390AC78F6B6925-1.json.xz
0,Is64Bit,True
0,IsPAE,False
0,layer_name,0 WindowsIntel32e
0,memory_layer,1 FileLayer
0,KdVersionBlock,0xf80166a9cdc0
0,Major/Minor,15.17763
0,MachineType,34404
0,KeNumberProcessors,1
0,SystemTime,2023-04-02 21:12:07+00:00
0,NtSystemRoot,C:\\Windows
0,NtProductType,NtProductWinNt
0,NtMajorVersion,10
0,NtMinorVersion,0
0,PE MajorOperatingSystemVersion,10
0,PE MinorOperatingSystemVersion,0
0,PE Machine,34404
0,PE TimeDateStamp,Thu Oct 28 12:04:50 2060

