TreeDepth,PID,Process,Args
0,4,System,-
0,248,smss.exe,\\SystemRoot\\System32\\smss.exe
0,340,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,392,wininit.exe,wininit.exe
0,400,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,428,winlogon.exe,winlogon.exe
0,484,services.exe,C:\\Windows\\system32\\services.exe
0,492,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,564,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch
0,608,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS
0,700,dwm.exe,"""dwm.exe"""
0,716,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted
0,768,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs
0,808,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService
0,888,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted
0,1008,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService
0,1148,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
0,1176,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork
0,1320,MsMpEng.exe,"""C:\\Program Files\\Windows Defender\\MsMpEng.exe"""
0,1828,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation
0,1932,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServicePeerNet
0,2132,explorer.exe,C:\\Windows\\Explorer.EXE
0,2168,taskhostex.exe,taskhostex.exe 
0,2444,RestoreOptIn.e,-
0,2588,SearchIndexer.,C:\\Windows\\system32\\SearchIndexer.exe /Embedding
0,2940,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,3192,NisSrv.exe,"""C:\\Program Files\\Windows Defender\\NisSrv.exe"""
0,3448,SettingSyncHos,"""C:\\Windows\\System32\\SettingSyncHost.exe"" -Embedding"
0,3836,WWAHost.exe,"""C:\\Windows\\System32\\WWAHost.exe"" -ServerName:Windows.Store"
0,3944,WSHost.exe,C:\\Windows\\WinStore\\WSHost.exe -Embedding
